DOW,Wholesale,TOA,Total Quantity,TOS,AGE,QTY,FP,FUP1000,PROFITS,Predicted,Total sold,Total profits,Qty left,Flower
5,120.0,0,0.0,1167,417,0.125,26,208.0,11.0,0,0.0,0.0,0.0,Rose
5,120.0,0,0.0,1167,417,0.125,26,208.0,11.0,0,0.0,0.0,0.0,Rose
5,120.0,0,0.0,1183,433,0.5,100,200.0,40.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,875,125,0.5,115,230.0,55.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,883,133,0.25,50,200.0,20.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,900,150,0.1,20,200.0,8.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,917,167,0.25,50,200.0,20.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,917,167,0.125,25,200.0,10.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,925,175,0.1,20,200.0,8.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,925,175,0.075,13,173.3,4.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,925,175,0.25,52,208.0,22.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,933,183,0.5,100,200.0,40.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,933,183,0.25,52,208.0,22.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,950,200,0.5,100,200.0,40.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,950,200,0.5,100,200.0,40.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,967,217,0.5,100,200.0,40.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,992,242,0.25,50,200.0,20.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,1000,250,0.125,25,200.0,10.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,1100,350,0.5,100,200.0,40.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,1100,350,0.125,20,160.0,5.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,1133,383,0.25,50,200.0,20.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,1150,400,0.25,50,200.0,20.0,0,0.0,0.0,0.0,Rose
6,120.0,0,0.0,1175,425,0.25,52,208.0,22.0,0,0.0,0.0,0.0,Rose
3,100.0,1100,20.0,1596,04:58 hrs,1.0,100,100.0,0.0,160,1.0,0.0,19.0,Rose
3,100.0,1100,20.0,1596,04:58 hrs,1.0,100,100.0,0.0,160,2.0,0.0,18.0,Rose
3,100.0,1100,20.0,1596,04:58 hrs,10.0,10,1.0,-990.0,155,12.0,-990.0,8.0,Rose
3,120.0,1000,10.0,163,-9:38 hrs,1.0,100,100.0,-20.0,193,1.0,-20.0,9.0,Rose
